Date&Time,outer_temp,outer_hum,wind_speed,wind_dir,rainfall,solar_rad,pressure
2024-12-01 00:00:00,6.3,81.0,0.8,140.0,,,1017.1
2024-12-01 01:00:00,5.9,84.0,1.4,140.0,,,1017.3
2024-12-01 02:00:00,5.7,84.0,1.8,140.0,,,1017.4
2024-12-01 03:00:00,5.4,85.0,1.6,160.0,,,1017.5
2024-12-01 04:00:00,5.3,85.0,1.7,140.0,,,1017.3
2024-12-01 05:00:00,5.3,85.0,1.7,140.0,,,1016.9
2024-12-01 06:00:00,5.3,85.0,1.5,160.0,,,1016.9
2024-12-01 07:00:00,5.7,83.0,1.6,160.0,,,1017.2
2024-12-01 08:00:00,6.0,82.0,1.5,160.0,,0.04,1017.4
2024-12-01 09:00:00,8.4,76.0,1.5,140.0,,0.43,1017.6
2024-12-01 10:00:00,9.4,73.0,1.4,160.0,,0.63,1017.8
2024-12-01 11:00:00,11.7,66.0,1.4,160.0,,0.88,1017.8
2024-12-01 12:00:00,12.2,66.0,0.9,140.0,,0.6,1017.2
2024-12-01 13:00:00,13.1,65.0,1.0,140.0,,0.48,1016.2
2024-12-01 14:00:00,14.3,59.0,0.9,140.0,,0.76,1015.4
2024-12-01 15:00:00,13.8,56.0,1.2,110.0,,0.74,1014.8
2024-12-01 16:00:00,14.3,52.0,1.5,160.0,,0.78,1014.8
2024-12-01 17:00:00,12.8,58.0,1.5,140.0,,0.12,1014.7
2024-12-01 18:00:00,11.2,71.0,2.2,200.0,0.3,0.01,1015.5
2024-12-01 19:00:00,10.2,81.0,1.3,140.0,,,1015.7
2024-12-01 20:00:00,10.1,81.0,1.0,140.0,,,1015.6
2024-12-01 21:00:00,9.6,78.0,1.7,140.0,0.3,,1015.5
2024-12-01 22:00:00,9.5,79.0,1.6,160.0,,,1015.9
2024-12-01 23:00:00,8.7,81.0,1.7,140.0,,,1016.1
2024-12-02 00:00:00,8.9,79.0,1.8,140.0,,,1016.0
2024-12-02 01:00:00,8.6,80.0,2.0,140.0,,,1016.0
2024-12-02 02:00:00,8.1,82.0,1.8,140.0,,,1015.8
2024-12-02 03:00:00,7.6,85.0,1.7,140.0,,,1016.1
2024-12-02 04:00:00,7.4,84.0,1.6,140.0,,,1015.9
2024-12-02 05:00:00,7.5,84.0,1.8,140.0,,,1015.9
2024-12-02 06:00:00,7.1,87.0,1.6,140.0,,,1016.0
2024-12-02 07:00:00,7.9,84.0,2.6,140.0,,,1016.1
2024-12-02 08:00:00,8.4,82.0,2.1,140.0,,0.03,1016.5
2024-12-02 09:00:00,10.7,76.0,1.8,140.0,,0.42,1016.7
2024-12-02 10:00:00,13.5,67.0,1.4,140.0,,0.93,1016.7
2024-12-02 11:00:00,15.6,60.0,1.4,180.0,,1.41,1016.6
2024-12-02 12:00:00,16.0,54.0,4.0,230.0,,1.68,1016.2
2024-12-02 13:00:00,17.3,56.0,2.9,250.0,,1.72,1015.9
2024-12-02 14:00:00,16.6,57.0,3.5,270.0,,1.67,1015.6
2024-12-02 15:00:00,15.8,61.0,4.4,270.0,,1.23,1015.8
2024-12-02 16:00:00,15.6,63.0,3.9,250.0,,0.79,1015.9
2024-12-02 17:00:00,12.4,84.0,4.1,290.0,,0.13,1016.9
2024-12-02 18:00:00,10.8,81.0,2.1,290.0,0.0,0.01,1018.1
2024-12-02 19:00:00,9.7,78.0,3.2,270.0,,,1019.1
2024-12-02 20:00:00,8.9,78.0,3.3,270.0,,,1019.8
2024-12-02 21:00:00,8.2,78.0,2.3,270.0,,,1020.0
2024-12-02 22:00:00,7.7,70.0,2.5,270.0,,,1020.5
2024-12-02 23:00:00,7.3,75.0,2.8,270.0,,,1020.9
2024-12-03 00:00:00,6.6,73.0,2.4,270.0,,,1021.3
2024-12-03 01:00:00,5.6,73.0,1.4,270.0,,,1021.4
2024-12-03 02:00:00,4.9,76.0,1.1,250.0,,,1021.7
2024-12-03 03:00:00,4.3,74.0,2.0,270.0,,,1022.5
2024-12-03 04:00:00,3.0,78.0,1.2,320.0,,,1022.7
2024-12-03 05:00:00,2.7,80.0,1.1,320.0,,,1022.3
2024-12-03 06:00:00,2.2,84.0,1.3,320.0,,,1022.6
2024-12-03 07:00:00,2.1,80.0,1.1,340.0,,,1022.6
2024-12-03 08:00:00,1.6,83.0,1.2,340.0,,0.03,1024.1
2024-12-03 09:00:00,2.7,73.0,0.9,360.0,,0.26,1024.6
2024-12-03 10:00:00,3.7,64.0,1.7,340.0,,0.72,1024.9
2024-12-03 11:00:00,4.6,51.0,2.2,320.0,,1.26,1025.4
2024-12-03 12:00:00,5.1,48.0,1.9,340.0,,1.92,1024.8
2024-12-03 13:00:00,5.9,44.0,2.3,340.0,,1.94,1024.0
2024-12-03 14:00:00,6.6,39.0,2.6,340.0,,1.72,1023.7
2024-12-03 15:00:00,6.0,34.0,3.7,360.0,,1.33,1023.2
2024-12-03 16:00:00,6.0,31.0,2.7,340.0,,0.59,1023.4
2024-12-03 17:00:00,4.8,30.0,3.3,340.0,,0.23,1023.5
2024-12-03 18:00:00,3.7,32.0,2.8,360.0,,0.01,1024.1
2024-12-03 19:00:00,3.4,32.0,2.4,360.0,,,1024.5
2024-12-03 20:00:00,2.7,37.0,2.0,340.0,,,1024.3
2024-12-03 21:00:00,2.1,43.0,1.5,340.0,,,1024.7
2024-12-03 22:00:00,1.6,43.0,1.1,340.0,,,1025.2
2024-12-03 23:00:00,1.5,50.0,1.0,110.0,,,1025.3
2024-12-04 00:00:00,1.6,50.0,1.5,110.0,,,1025.2
2024-12-04 01:00:00,1.8,47.0,1.2,140.0,,,1024.9
2024-12-04 02:00:00,2.1,50.0,1.6,140.0,,,1024.7
2024-12-04 03:00:00,2.5,50.0,1.1,140.0,,,1024.2
2024-12-04 04:00:00,2.9,51.0,1.2,140.0,,,1023.5
2024-12-04 05:00:00,2.7,59.0,0.6,340.0,,,1023.6
2024-12-04 06:00:00,3.2,57.0,1.0,140.0,,,1023.2
2024-12-04 07:00:00,3.4,51.0,0.6,110.0,,,1023.3
2024-12-04 08:00:00,3.5,54.0,0.5,360.0,,0.02,1023.7
2024-12-04 09:00:00,3.7,64.0,2.1,340.0,,0.23,1024.2
2024-12-04 10:00:00,4.7,62.0,1.3,340.0,,0.87,1024.6
2024-12-04 11:00:00,6.2,52.0,1.0,320.0,,1.42,1024.6
2024-12-04 12:00:00,7.6,42.0,1.9,320.0,,1.77,1023.7
2024-12-04 13:00:00,7.8,39.0,3.3,340.0,,1.86,1022.6
2024-12-04 14:00:00,8.1,38.0,2.7,320.0,,1.75,1021.7
2024-12-04 15:00:00,7.9,39.0,3.0,320.0,,1.42,1021.1
