;release cooling;meas lee;radiation;radiation sum;status;vent temp;meas curtain 2;meas grh temp;meas grh temp;set heat temp;set vent temp;meas outside temp;heat temp
;jbpc:Cmp 8;jbpc:CMP 8 VENT.CONTR;jbpc:WEATHER RAD SENS;jbpc:WEATHER RAD SENS;jbpc:CMP 8 SWI COOL;jbpc:Cmp 8;jbpc:CMP 8 CURTAIN 2;jbpc:Cmp 8;jbpc:Cmp 8;jbpc:Cmp 8;jbpc:Cmp 8;jbpc:WEATHER;jbpc:Cmp 8
;;%;W/m²;J/cm²;;°C;%;°C;°C;°C;°C;°C;°C
01-12-2024 00:00:00;0;0;0;575;0;;100;15.22;15.22;15;16;4.42;
01-12-2024 00:05:00;0;0;0;575;0;;100;15.2;15.2;15;16;4.23;
01-12-2024 00:10:00;0;0;0;575;0;;100;15.12;15.12;15;16;4.2;
01-12-2024 00:15:00;0;0;0;575;0;;100;15.02;15.02;15;16;4.03;
01-12-2024 00:20:00;0;0;0;575;0;;100;14.92;14.92;15;16;3.58;
01-12-2024 00:25:00;0;0;0;575;0;;100;14.9;14.9;15;16;3.92;
01-12-2024 00:30:00;0;0;0;575;0;;100;14.82;14.82;15;16;3.33;
01-12-2024 00:35:00;0;0;0;575;0;;100;14.8;14.8;15;16;3.96;
01-12-2024 00:40:00;0;0;0;575;0;;100;14.72;14.72;15;16;3.68;
01-12-2024 00:45:00;0;0;0;575;0;;100;14.7;14.7;15;16;3.35;
01-12-2024 00:50:00;0;0;0;575;0;;100;14.62;14.62;15;16;3.38;
01-12-2024 00:55:00;0;0;0;575;0;;100;14.6;14.6;15;16;3.06;
01-12-2024 01:00:00;0;0;0;575;0;;100;14.6;14.6;15;16;2.75;
01-12-2024 01:05:00;0;0;0;575;0;;100;14.6;14.6;15;16;2.53;
01-12-2024 01:10:00;0;0;0;575;0;;100;14.6;14.6;15;16;2.58;
01-12-2024 01:15:00;0;0;0;575;0;;100;15.36;15.36;15;16;2.68;
01-12-2024 01:20:00;0;0;0;575;0;;100;15.75;15.75;15;16;3.04;
01-12-2024 01:25:00;0;0;0;575;0;;100;15.8;15.8;15;16;2.85;
01-12-2024 01:30:00;0;0;0;575;0;;100;15.72;15.72;15;16;2.55;
01-12-2024 01:35:00;0;0;0;575;0;;100;15.62;15.62;15;16;2.67;
01-12-2024 01:40:00;0;0;0;575;0;;100;15.6;15.6;15;16;2.62;
01-12-2024 01:45:00;0;0;0.84;575;0;;100;15.43;15.43;15;16;2.94;
01-12-2024 01:50:00;0;0;1;575;0;;100;15.32;15.32;15;16;2.92;
01-12-2024 01:55:00;0;0;0.16;575;0;;100;15.22;15.22;15;16;2.82;
01-12-2024 02:00:00;0;0;0;575;0;;100;15.12;15.12;15;16;2.72;
01-12-2024 02:05:00;0;0;0;575;0;;100;15.02;15.02;15;16;2.78;
01-12-2024 02:10:00;0;0;0;575;0;;100;15;15;15;16;2.72;
01-12-2024 02:15:00;0;0;0;575;0;;100;16.18;16.18;15;16;2.78;
01-12-2024 02:20:00;0;0;0;575;0;;100;16.4;16.4;15;16;2.72;
01-12-2024 02:25:00;0;0;0;575;0;;100;16.06;16.06;15;16;2.45;
01-12-2024 02:30:00;0;0;0;575;0;;100;15.75;15.75;15;16;2.4;
01-12-2024 02:35:00;0;0;0;575;0;;100;15.62;15.62;15;16;2.65;
01-12-2024 02:40:00;0;0;0;575;0;;100;15.35;15.35;15;16;2.7;
01-12-2024 02:45:00;0;0;0.84;575;0;;100;15.13;15.13;15;16;2.53;
01-12-2024 02:50:00;0;0;0.16;575;0;;100;14.93;14.93;15;16;2.42;
01-12-2024 02:55:00;0;0;0;575;0;;100;14.9;14.9;15;16;2.48;
01-12-2024 03:00:00;0;0;0;575;0;;100;14.98;14.98;17.5;18.5;2.42;
01-12-2024 03:05:00;0;0;0;575;0;;100;15;15;18;19;2.4;
01-12-2024 03:10:00;0;0;0;575;0;;100;14.92;14.92;18;19;2.4;
01-12-2024 03:15:00;0;0;0;575;0;;100;15.32;15.32;18;19;2.32;
01-12-2024 03:20:00;0;0;0;575;0;;100;15.98;15.98;18;19;2.3;
01-12-2024 03:25:00;0;0;0;575;0;;100;16.18;16.18;18;19;2.38;
01-12-2024 03:30:00;0;0;0;575;0;;100;16.12;16.12;18;19;2.32;
01-12-2024 03:35:00;0;0;0;575;0;;100;16.1;16.1;18;19;2.22;
01-12-2024 03:40:00;0;0;0;575;0;;100;15.93;15.93;18;19;1.95;
01-12-2024 03:45:00;0;0;0;575;0;;100;15.73;15.73;18;19;1.82;
01-12-2024 03:50:00;0;0;0;575;0;;100;15.62;15.62;18;19;1.63;
01-12-2024 03:55:00;0;0;0;575;0;;100;15.52;15.52;18;19;1.85;
01-12-2024 04:00:00;0;0;0;575;0;;100;15.42;15.42;18;19;2.23;
01-12-2024 04:05:00;0;0;0.83;575;0;;100;15.32;15.32;18;19;2.22;
01-12-2024 04:10:00;0;0;1;575;0;;100;15.22;15.22;18;19;2.12;
01-12-2024 04:15:00;0;0;0.17;575;0;;100;15.12;15.12;18;19;2.18;
01-12-2024 04:20:00;0;0;0;575;0;;100;15.02;15.02;18;19;2.12;
01-12-2024 04:25:00;0;0;0;575;0;;100;15;15;18;19;2.18;
01-12-2024 04:30:00;0;0;0;575;0;;100;16.5;16.5;18;19;2.37;
01-12-2024 04:35:00;0;0;0;575;0;;100;18.13;18.13;18;19;2.48;
01-12-2024 04:40:00;0;0;0;575;0;;100;18.32;18.32;18;19;2.42;
01-12-2024 04:45:00;0;0;0;575;0;;100;17.63;17.63;18;19;2.48;
01-12-2024 04:50:00;0;0;0;575;0;;100;17;17;18;19;2.5;
01-12-2024 04:55:00;0;0;0;575;0;;100;16.57;16.57;18;19;2.17;
01-12-2024 05:00:00;0;0;0;575;0;;100;16.25;16.25;18;19;2.18;
01-12-2024 05:05:00;0;0;0;575;0;;91.67;15.87;15.87;18;19;2.28;
01-12-2024 05:10:00;0;0;0;575;0;;90;15.3;15.3;18;19;1.97;
01-12-2024 05:15:00;0;0;0;575;0;;90;14.95;14.95;18;19;2.15;
01-12-2024 05:20:00;0;0;0;575;0;;90;14.98;14.98;18;19;2.03;
01-12-2024 05:25:00;0;0;0;575;0;;90;16.33;16.33;18;19;2;
01-12-2024 05:30:00;0;0;0;575;0;;90;17.6;17.6;18;19;1.92;
01-12-2024 05:35:00;0;0;0;575;0;;90;17.47;17.47;18;19;1.82;
01-12-2024 05:40:00;0;0;0;575;0;;90;16.73;16.73;18;19;2.05;
01-12-2024 05:45:00;0;0;0;575;0;;90;16.18;16.18;18;19;1.93;
01-12-2024 05:50:00;0;0;0;575;0;;90;15.77;15.77;18;19;1.82;
01-12-2024 05:55:00;0;0;0;575;0;;90;15.53;15.53;18;19;1.72;
01-12-2024 06:00:00;0;0;0;575;0;;90;15.33;15.33;18;19;1.78;
01-12-2024 06:05:00;0;0;0;575;0;;90;15.22;15.22;18;19;2.05;
01-12-2024 06:10:00;0;0;0;575;0;;90;15.12;15.12;18;19;1.93;
01-12-2024 06:15:00;0;0;0;575;0;;90;15.02;15.02;18;19;1.57;
01-12-2024 06:20:00;0;0;0;575;0;;90;15.08;15.08;18;19;1.5;
01-12-2024 06:25:00;0;0;0;575;0;;90;16.6;16.6;18;20.67;1.58;
01-12-2024 06:30:00;0;0;0;575;0;;90;18.07;18.07;18;21;1.52;
01-12-2024 06:35:00;0;0;0;575;0;;90;17.8;17.8;18;21;1.33;
01-12-2024 06:40:00;0;0;0;575;0;;90;17.12;17.12;18;21;1.47;
01-12-2024 06:45:00;0;0;0;575;0;;90;16.58;16.58;18;21;1.5;
01-12-2024 06:50:00;0;0;0.83;575;0;;90;16.25;16.25;18;21;1.92;
01-12-2024 06:55:00;0;0;1;575;0;;90;16.03;16.03;19.67;21;1.92;
01-12-2024 07:00:00;0;0;0.17;575;0;;90;15.83;15.83;20;21;1.82;
01-12-2024 07:05:00;0;0;0;575;0;;98.33;15.63;15.63;20;21;2.05;
01-12-2024 07:10:00;0;0;0;575;0;;100;15.68;15.68;20;21;1.77;
01-12-2024 07:15:00;0;0;0;575;0;;100;15.7;15.7;20;21;1.53;
01-12-2024 07:20:00;0;0;1.66;99.01;0;;100;15.7;15.7;20;21;2;
01-12-2024 07:25:00;0;0;2.83;0;0;;100;15.62;15.62;20;21;2.1;
01-12-2024 07:30:00;0;0;4.66;0;0;;100;15.52;15.52;20;21;1.93;
01-12-2024 07:35:00;0;0;7.5;0;0;;91.68;15.25;15.25;20;21;2.15;
01-12-2024 07:40:00;0;0;12.14;0.83;0;;87.52;14.79;14.79;20;21;2.45;
01-12-2024 07:45:00;0;0;15.48;1;0;;83.78;15.28;15.28;20;21;2.25;
01-12-2024 07:50:00;0;0;20.13;1.83;0;;78.88;16.89;16.89;20;21;2.2;
01-12-2024 07:55:00;0;0;26.79;2.83;0;;72.54;17.53;17.53;20;21;2.28;
01-12-2024 08:00:00;0;0;33.79;3.83;0;;71.23;16.94;16.94;20;21;2.38;
01-12-2024 08:05:00;0;0;38.31;4.83;0;;64.34;16.22;16.22;20;21;2.32;
01-12-2024 08:10:00;0;0;58.84;6.65;0;;53.72;15.77;15.77;20;21;2.55;
01-12-2024 08:15:00;0;0;72.92;9.48;0;;39.81;15.53;15.53;20;21;2.85;
01-12-2024 08:20:00;0;0;69.21;11.65;0;;6.47;15.33;15.33;20;21;2.98;
01-12-2024 08:25:00;0;0;72.96;13.65;0;;0;15.63;15.63;20;21;3.17;
01-12-2024 08:30:00;0;0;85.57;16.48;0;;0;17.52;17.52;20;21;3.45;
01-12-2024 08:35:00;0;0;92.96;19.48;0;;0;19.06;19.06;20;21;3.67;
01-12-2024 08:40:00;0;0;79.95;21.65;0;;0;20.04;20.04;20;21;3.95;
01-12-2024 08:45:00;0;0;70.39;23.65;0;;0;19.79;19.79;20;21;4.25;
01-12-2024 08:50:00;0;0;85.53;26.48;0;;0;18.87;18.87;20;21;4.47;
01-12-2024 08:55:00;0;0;134.47;31.13;0;;0;19.53;19.53;20;21;5.24;
01-12-2024 09:00:00;0;0;191.12;36.96;0;;0;20.53;20.53;20;21;6.31;
01-12-2024 09:05:00;0;0;192.73;42.96;0;;0;20.37;20.37;20;21;7;
01-12-2024 09:10:00;0;0;137.27;46.48;0;;0;19.64;19.64;20;21;7.51;
01-12-2024 09:15:00;0;0;153.28;51.13;0;;0;19.33;19.33;20;21;7.6;
01-12-2024 09:20:00;0;0;150.73;56.13;0;;0;20.37;20.37;20;21;7.43;
01-12-2024 09:25:00;0;0;213.48;62.79;0;;0;20.85;20.85;20;21;8.39;
01-12-2024 09:30:00;0;0;194.76;68.96;0;;0;20.65;20.65;20;21;8.93;
01-12-2024 09:35:00;0;0;183.04;74.13;0;;0;20.19;20.19;20;21;8.59;
01-12-2024 09:40:00;0;0;160.51;78.31;0;;0;19.85;19.85;20;21;8.25;
01-12-2024 09:45:00;0;0;152.69;83.13;0;;0;19.63;19.63;20;21;7.79;
01-12-2024 09:50:00;0;0;194.16;88.96;0;;0;20.18;20.18;20;21;7.78;
